Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416914285""","=""9781416914280""",2,Margaret K. McElderry Books,Hardcover,485,2007,2007,,2014/05/03,did-not-finish,did-not-finish (#6),did-not-finish,,,,0,0
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,Tor Books,Paperback,1006,2006,2004,,2011/07/31,did-not-finish,did-not-finish (#2),did-not-finish,,,,0,0
17234658,"A Thousand Pieces of You (Firebird, #1)",Claudia Gray,"Gray, Claudia",,"=""0062278967""","=""9780062278968""",0,Harper Teen,Hardcover,368,2014,2014,,2014/06/18,did-not-finish,did-not-finish (#1),did-not-finish,,,,0,0
25392947,"The Forgotten Mountain (The Collectors' Society, #3)",Heather Lyons,"Lyons, Heather",,"=""""","=""""",4,CeruleanBooks,ebook,,2015,,2015/12/22,2015/12/16,,,read,,,,1,0
36024,"Tim Burton's Nightmare Before Christmas: The Film, the Art, the Vision",Frank T. Thompson,"Thompson, Frank T.",Tim Burton,"=""0786853786""","=""9780786853786""",5,Hyperion,Paperback,192,2002,1993,,2012/06/16,,,read,,,,1,0
57953043,"A Narrow Door (Malbry, #4)",Joanne Harris,"Harris, Joanne",,"=""140918630X""","=""9781409186304""",0,Orion,Hardcover,448,2021,2021,,2022/01/09,currently-reading,currently-reading (#3),currently-reading,,,,1,0
49189216,The Sin Eater,Megan Campisi,"Campisi, Megan",,"=""1529019060""","=""9781529019063""",3,Mantle,Hardcover,368,2020,2020,2022/01/09,2020/09/04,,,read,,,,1,0
57297528,"Don't Laugh, It'll Only Encourage Her",Daisy May Cooper,"Cooper, Daisy May",,"=""0241503590""","=""9780241503591""",5,Michael Joseph,Paperback,320,2021,,2021/10/31,2021/10/31,,,read,,,,2,0
53152636,Mexican Gothic,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""0525620788""","=""9780525620785""",3,Del Rey,Hardcover,320,2020,2020,2021/10/02,2021/07/27,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",0,Penguin Group DAW,Hardcover,662,2007,2007,,2021/07/27,to-read,to-read (#13),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,Tor Books,Hardcover,472,2014,2006,,2021/07/24,to-read,to-read (#12),to-read,,,,0,0
55481226,"Rabbits (Rabbits, #1)",Terry Miles,"Miles, Terry",,"=""1984819658""","=""9781984819659""",0,Del Rey,Hardcover,422,2021,2021,,2021/07/24,to-read,to-read (#11),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,Ballantine Books,Hardcover,476,2021,2021,2021/07/24,2021/03/27,,,read,,,,1,0
20764879,"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765376474""","=""9780765376473""",5,Tor,Hardcover,512,2016,2016,2021/07/05,2021/07/05,,,read,,,,1,0
53288434,The Lost Apothecary,Sarah Penner,"Penner, Sarah",,"=""0778311015""","=""9780778311010""",0,Park Row,Hardcover,301,2021,2021,,2021/03/27,to-read,to-read (#10),to-read,,,,0,0
49504061,The Once and Future Witches,Alix E. Harrow,"Harrow, Alix E.",,"=""0316422045""","=""9780316422048""",5,Redhook,Hardcover,517,2020,2020,2021/03/27,2021/02/23,,,read,,,,1,0
28692047,Montague Island Mysteries and Other Logic Puzzles,R. Wayne Schmittberger,"Schmittberger, R. Wayne",,"=""145491811X""","=""9781454918110""",0,Puzzlewright Press,Spiral-bound,96,2016,,,2021/03/14,to-read,to-read (#9),to-read,,,,0,0
33299154,Rotherweird (Rotherweird #1),Andrew Caldecott,"Caldecott, Andrew",Sasha Laika,"=""""","=""""",0,,ebook,480,2017,2017,,2021/02/23,currently-reading,currently-reading (#2),currently-reading,,,,1,0
46159063,The Betrayals,Bridget Collins,"Collins, Bridget",,"=""006283813X""","=""9780062838131""",3,William Morrow,Kindle Edition,419,2021,2020,2021/02/23,2021/02/23,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,Crown Publishers,Hardcover,369,2014,2011,2021/02/21,2021/02/22,,,read,,,,1,0
